TIME,OUT_T[*C],OUT_H[%],T6[*C],H6[%],T12[*C],H12[%],T18[*C],H18[%],T19[*C],H19[%],T24[*C],H24[%],T25[*C],H25[%],T26[*C],H26[%],LAMP_STATE,FAN_STATE,AC_STATE,HEATER_STATE,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14H
2020-02-04 16:50:24.112775,36.0,23.0,30.0,42.0,29.0,38.0,25.0,46.0,34.0,32.0,30.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:30.426595,36.0,23.0,30.0,42.0,29.0,38.0,25.0,46.0,34.0,32.0,30.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:36.723572,36.0,23.0,30.0,42.0,29.0,38.0,25.0,46.0,34.0,32.0,30.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:45.544627,36.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,30.0,31.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:51.839486,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,33.0,31.0,32.0,27.0,37.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:50:58.123499,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:06.935559,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:15.743726,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:22.039348,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:30.879904,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:39.696654,37.0,23.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:48.527312,37.0,22.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,31.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:51:54.818920,37.0,22.0,30.0,41.0,29.0,38.0,25.0,46.0,34.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:01.117326,37.0,22.0,30.0,41.0,29.0,37.0,25.0,46.0,34.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:09.944233,37.0,22.0,30.0,41.0,29.0,35.0,25.0,46.0,34.0,32.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:23.820128,37.0,22.0,30.0,41.0,29.0,37.0,26.0,47.0,34.0,32.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:30.121324,37.0,22.0,30.0,41.0,29.0,37.0,25.0,46.0,34.0,32.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:36.408462,37.0,22.0,30.0,41.0,29.0,37.0,26.0,47.0,34.0,32.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:45.245928,37.0,22.0,30.0,41.0,29.0,37.0,26.0,47.0,34.0,32.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:52:54.084660,37.0,22.0,30.0,41.0,29.0,37.0,26.0,47.0,34.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:02.914821,37.0,22.0,30.0,41.0,29.0,35.0,26.0,47.0,34.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:09.212026,37.0,21.0,30.0,41.0,29.0,37.0,26.0,47.0,35.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:20.562379,37.0,21.0,30.0,41.0,29.0,34.0,26.0,47.0,35.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:29.379584,37.0,21.0,30.0,41.0,29.0,37.0,26.0,47.0,35.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:38.204463,37.0,21.0,30.0,41.0,29.0,37.0,26.0,47.0,35.0,32.0,31.0,32.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:47.033965,37.0,21.0,30.0,41.0,29.0,37.0,26.0,47.0,35.0,32.0,31.0,32.0,28.0,38.0,29.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:53:55.859821,37.0,21.0,30.0,40.0,29.0,37.0,26.0,47.0,35.0,31.0,31.0,33.0,28.0,38.0,28.0,41.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:54:07.207395,37.0,21.0,31.0,41.0,29.0,37.0,26.0,47.0,35.0,31.0,31.0,32.0,28.0,38.0,29.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04 16:54:13.498859,37.0,21.0,31.0,41.0,29.0,37.0,26.0,47.0,35.0,31.0,31.0,32.0,28.0,38.0,29.0,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
